[06-Aug-2024 08:37:32 America/Sao_Paulo] PHP Warning:  Undefined variable $obj in C:\xampp\htdocs\patrimonio\app\control\geral\CadastraMovimentacaoForm.php on line 170
[06-Aug-2024 08:37:44 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 08:40:01 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 08:40:12 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 08:41:10 America/Sao_Paulo] PHP Warning:  Undefined variable $obj in C:\xampp\htdocs\patrimonio\app\control\geral\CadastraMovimentacaoForm.php on line 170
[06-Aug-2024 08:41:36 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 08:41:57 America/Sao_Paulo] PHP Warning:  Undefined variable $obj in C:\xampp\htdocs\patrimonio\app\control\geral\CadastraMovimentacaoForm.php on line 170
[06-Aug-2024 09:14:52 America/Sao_Paulo] PHP Warning:  Undefined variable $obj in C:\xampp\htdocs\patrimonio\app\control\geral\CadastraMovimentacaoForm.php on line 170
[06-Aug-2024 09:15:01 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token ",", expecting identifier or variable or "{" or "$" in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 239
[06-Aug-2024 09:15:03 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token ",", expecting identifier or variable or "{" or "$" in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 239
[06-Aug-2024 09:16:09 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:20:15 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:20:20 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[06-Aug-2024 09:20:26 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:21:19 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:21:19 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 27
[06-Aug-2024 09:21:19 America/Sao_Paulo] PHP Warning:  foreach() argument must be of type array|object, null given in C:\xampp\htdocs\patrimonio\lib\adianti\database\TRecord.php on line 780
[06-Aug-2024 09:21:24 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:23:19 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:31:29 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:31:35 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:31:55 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 22
[06-Aug-2024 09:32:12 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:32:21 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:32:36 America/Sao_Paulo] PHP Warning:  Undefined array key "Patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:32:43 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:38:01 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:38:11 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:38:25 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:38:45 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonios" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 09:38:51 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 10:20:18 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 15:16:25 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 15:27:26 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 15:27:31 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 15:29:22 America/Sao_Paulo] PHP Fatal error:  Cannot use [] for reading in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[06-Aug-2024 15:29:31 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 27
[06-Aug-2024 15:29:31 America/Sao_Paulo] PHP Warning:  foreach() argument must be of type array|object, null given in C:\xampp\htdocs\patrimonio\lib\adianti\database\TRecord.php on line 780
[06-Aug-2024 15:29:38 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 08:27:52 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 08:30:42 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 08:31:05 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 08:31:12 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 08:43:30 America/Sao_Paulo] PHP Warning:  Undefined variable $param in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 08:43:30 America/Sao_Paulo] PHP Warning:  Trying to access array offset on value of type null in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 08:43:38 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 08:44:20 America/Sao_Paulo] PHP Warning:  Undefined array key "y" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Undefined variable $Local in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 34
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Attempt to read property "id" on null in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 34
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Undefined variable $Local in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 36
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Attempt to read property "Descricao" on null in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 36
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Undefined variable $Local in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 38
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Attempt to read property "CentrodeCusto" on null in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 38
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Attempt to read property "CentroCusto" on null in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 38
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Undefined variable $Local in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 40
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Attempt to read property "Local" on null in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 40
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Undefined variable $Local in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 42
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Attempt to read property "responsavel" on null in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 42
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Undefined variable $Local in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 44
[07-Aug-2024 08:44:30 America/Sao_Paulo] PHP Warning:  Attempt to read property "chapa" on null in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 44
[07-Aug-2024 08:44:41 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 08:46:52 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 08:55:22 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 08:56:00 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 09:00:56 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 09:01:22 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 31
[07-Aug-2024 09:01:37 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 09:01:45 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 09:02:14 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 09:07:37 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 09:07:42 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 09:07:57 America/Sao_Paulo] PHP Warning:  Undefined array key "" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 09:08:03 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 09:09:16 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 09:09:16 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 27
[07-Aug-2024 09:09:16 America/Sao_Paulo] PHP Warning:  foreach() argument must be of type array|object, null given in C:\xampp\htdocs\patrimonio\lib\adianti\database\TRecord.php on line 780
[07-Aug-2024 09:09:27 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 09:43:45 America/Sao_Paulo] PHP Warning:  Undefined variable $obj in C:\xampp\htdocs\patrimonio\app\control\geral\CadastraMovimentacaoForm.php on line 170
[07-Aug-2024 09:44:14 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 09:46:06 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 10:58:06 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 10:58:32 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 10:59:04 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 10:59:04 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 10:59:17 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 11:00:10 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 11:00:10 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 11:00:16 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 29
[07-Aug-2024 11:02:08 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 11:02:15 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token "=" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 17
[07-Aug-2024 11:08:06 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 11:10:19 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 32
[07-Aug-2024 11:10:30 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 11:13:31 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 11:14:37 America/Sao_Paulo] PHP Warning:  Undefined array key "key" in C:\xampp\htdocs\patrimonio\app\control\geral\LocalFormView.php on line 30
[07-Aug-2024 14:34:49 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[07-Aug-2024 14:35:21 America/Sao_Paulo] PHP Warning:  Undefined variable $obj in C:\xampp\htdocs\patrimonio\app\control\geral\CadastraMovimentacaoForm.php on line 170
[07-Aug-2024 14:35:23 America/Sao_Paulo] PHP Warning:  Undefined variable $obj in C:\xampp\htdocs\patrimonio\app\control\geral\CadastraMovimentacaoForm.php on line 170
[07-Aug-2024 14:41:27 America/Sao_Paulo] PHP Warning:  foreach() argument must be of type array|object, null given in C:\xampp\htdocs\patrimonio\app\control\geral\CentrodecustoList.php on line 191
[07-Aug-2024 14:41:27 America/Sao_Paulo] PHP Warning:  foreach() argument must be of type array|object, null given in C:\xampp\htdocs\patrimonio\app\control\geral\CentrodecustoList.php on line 200
[08-Aug-2024 13:50:56 America/Sao_Paulo] PHP Fatal error:  Uncaught PDOException: PDO::__construct(): php_network_getaddresses: getaddrinfo failed: Este host n�o � conhecido.  in C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php:116
Stack trace:
#0 C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php(116): PDO->__construct('mysql:host=Cont...', '', '', Array)
#1 C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php(47): Adianti\Database\TConnection::openArray(Array)
#2 C:\xampp\htdocs\patrimonio\lib\adianti\database\TTransaction.php(63): Adianti\Database\TConnection::open('log')
#3 C:\xampp\htdocs\patrimonio\app\service\log\SystemAccessLogService.class.php(59): Adianti\Database\TTransaction::open('log')
#4 C:\xampp\htdocs\patrimonio\app\control\admin\LoginForm.php(371): SystemAccessLogService::registerLogout()
#5 [internal function]: LoginForm::onLogout(Array)
#6 C:\xampp\htdocs\patrimonio\lib\adianti\core\AdiantiCoreApplication.php(82): call_user_func(Array, Array)
#7 C:\xampp\htdocs\patrimonio\engine.php(43): Adianti\Core\AdiantiCoreApplication::run('0')
#8 C:\xampp\htdocs\patrimonio\engine.php(100): TApplication::run()
#9 {main}

Next PDOException: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo failed: Este host n�o � conhecido.  in C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php:116
Stack trace:
#0 C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php(116): PDO->__construct('mysql:host=Cont...', '', '', Array)
#1 C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php(47): Adianti\Database\TConnection::openArray(Array)
#2 C:\xampp\htdocs\patrimonio\lib\adianti\database\TTransaction.php(63): Adianti\Database\TConnection::open('log')
#3 C:\xampp\htdocs\patrimonio\app\service\log\SystemAccessLogService.class.php(59): Adianti\Database\TTransaction::open('log')
#4 C:\xampp\htdocs\patrimonio\app\control\admin\LoginForm.php(371): SystemAccessLogService::registerLogout()
#5 [internal function]: LoginForm::onLogout(Array)
#6 C:\xampp\htdocs\patrimonio\lib\adianti\core\AdiantiCoreApplication.php(82): call_user_func(Array, Array)
#7 C:\xampp\htdocs\patrimonio\engine.php(43): Adianti\Core\AdiantiCoreApplication::run('0')
#8 C:\xampp\htdocs\patrimonio\engine.php(100): TApplication::run()
#9 {main}
  thrown in C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php on line 116
[08-Aug-2024 13:55:24 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token ",", expecting identifier or variable or "{" or "$" in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 239
[08-Aug-2024 13:57:23 America/Sao_Paulo] PHP Warning:  Undefined variable $id in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 35
[08-Aug-2024 14:17:26 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token ",", expecting identifier or variable or "{" or "$" in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 242
[08-Aug-2024 14:17:33 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected single-quoted string "left", expecting identifier or variable or "{" or "$" in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 242
[12-Aug-2024 07:52:42 America/Sao_Paulo] PHP Parse error:  Unclosed '{' on line 22 does not match ')' in C:\xampp\htdocs\patrimonio\app\control\geral\CentrodecustoList.php on line 88
[12-Aug-2024 09:39:34 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:51:14 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
